Date,Amount,Merchant,Category,Description
2024-06-01,-2231.11,Aurora Apartments,Rent,Rent for June 2024
2024-06-01,-9.99,Spotify,Subscriptions,Family plan upgrade
2024-06-04,-24.20,Pasta & Co,Restaurants,Dinner with team
2024-06-05,-12.76,Cinemaxx,Entertainment,Movie night
2024-06-06,-6.44,The Daily Grind Coffee,Restaurants,Morning coffee
2024-06-07,-45.09,Sushi Hanako,Restaurants,Dinner with team
2024-06-08,-58.18,Aldi Sud,Groceries,Pantry restock
2024-06-11,-38.85,Pasta & Co,Restaurants,Quick lunch
2024-06-12,-17.82,Apotheke am Markt,Healthcare,Vitamins
2024-06-17,-3.60,The Daily Grind Coffee,Restaurants,Espresso break
2024-06-19,-39.76,Amazon,Shopping,Winter coat
2024-06-19,-50.50,REWE,Groceries,Saturday shop
2024-06-21,-5.62,The Daily Grind Coffee,Restaurants,Latte to go
2024-06-21,-124.97,Whole Foods,Groceries,Weekly groceries
2024-06-22,-23.18,Deutsche Bahn,Transport,Weekend trip
2024-06-23,-31.38,Uber,Transport,Monthly transit pass
2024-06-25,-45.92,Deutsche Bahn,Transport,ICE ticket
2024-06-25,5794.20,Northwind Traders Payroll,Salary,Monthly salary deposit
2024-06-26,-40.24,Amazon,Shopping,Replacement charger
2024-06-26,-8.86,Berlin Cafe,Restaurants,Tea and pastry
2024-06-27,-69.98,Shell Fuel,Transport,Airport ride
2024-06-28,-23.33,REWE,Groceries,Lunch supplies
2024-07-01,-1816.16,Aurora Apartments,Rent,Rent for July 2024
2024-07-10,-29.06,Pasta & Co,Restaurants,Quick lunch
2024-07-12,-62.84,Deutsche Bahn,Transport,Weekend trip
2024-07-12,-4.00,GitHub Pro,Subscriptions,Auto-renewal
2024-07-12,-59.08,REWE,Groceries,Pantry restock
2024-07-13,-72.35,Vattenfall Energy,Utilities,Quarterly bill
2024-07-17,-12.99,Netflix,Subscriptions,Auto-renewal
2024-07-25,6551.19,Northwind Traders Payroll,Salary,Monthly salary deposit
2024-07-26,-19.85,Cinemaxx,Entertainment,Games on sale
2024-07-26,-8.17,Uber,Transport,Airport pickup
2024-08-01,-1731.68,Aurora Apartments,Rent,Rent for August 2024
2024-08-01,-2.99,iCloud+,Subscriptions,Monthly subscription
2024-08-06,-20.33,Mama Lucia Pizza,Restaurants,Dinner with team
2024-08-15,-27.12,Uber,Transport,Filled up tank
2024-08-17,-5.98,The Daily Grind Coffee,Restaurants,Espresso break
2024-08-19,-14.71,Berlin Cafe,Restaurants,Tea and pastry
2024-08-19,-12.99,Netflix,Subscriptions,Auto-renewal
2024-08-20,-9.99,Spotify,Subscriptions,Family plan upgrade
2024-08-21,-9.99,Spotify,Subscriptions,Family plan upgrade
2024-08-25,5234.87,Northwind Traders Payroll,Salary,Monthly salary deposit
2024-08-28,-2.99,iCloud+,Subscriptions,Monthly subscription
2024-09-01,-28.34,Apotheke am Markt,Healthcare,Pharmacy
2024-09-01,-2224.89,Aurora Apartments,Rent,Rent for September 2024
2024-09-03,-17.44,Berlin Cafe,Restaurants,Brunch
2024-09-03,-115.68,Zalando,Shopping,Summer wardrobe
2024-09-07,-19.99,Audible,Subscriptions,Monthly credit
2024-09-07,-17.98,REWE,Groceries,Lunch supplies
2024-09-15,-35.90,REWE,Groceries,Quick stop
2024-09-18,-4.00,GitHub Pro,Subscriptions,Auto-renewal
2024-09-18,-38.99,REWE,Groceries,Lunch supplies
2024-09-19,-26.19,Deutsche Bahn,Transport,Weekend trip
2024-09-21,-9.99,Spotify,Subscriptions,Family plan upgrade
2024-09-25,-51.47,Deutsche Bahn,Transport,Weekend trip
2024-09-25,5795.98,Northwind Traders Payroll,Salary,Monthly salary deposit
2024-10-01,-2236.72,Aurora Apartments,Rent,Rent for October 2024
2024-10-01,-53.66,Pasta & Co,Restaurants,Dinner with team
2024-10-03,-12.99,Netflix,Subscriptions,Monthly subscription
2024-10-03,-37.72,REWE,Groceries,Quick stop
2024-10-07,-6.06,DHL Postage,Other,Shipping label
2024-10-08,-9.99,Spotify,Subscriptions,Monthly subscription
2024-10-11,-40.85,Deutsche Bahn,Transport,ICE ticket
2024-10-12,-12.99,Netflix,Subscriptions,Auto-renewal
2024-10-15,-47.15,REWE,Groceries,Lunch supplies
2024-10-17,-9.99,Spotify,Subscriptions,Family plan upgrade
2024-10-19,-47.59,REWE,Groceries,Quick stop
2024-10-21,-9.99,Spotify,Subscriptions,Family plan upgrade
2024-10-22,-27.84,Sushi Hanako,Restaurants,Birthday dinner
2024-10-25,7415.28,Northwind Traders Payroll,Salary,Monthly salary deposit
2024-10-27,-23.67,Apotheke am Markt,Healthcare,Vitamins
2024-10-28,-10.25,Uber,Transport,Airport pickup
2024-11-01,-1912.55,Aurora Apartments,Rent,Rent for November 2024
2024-11-03,-30.79,Amazon,Shopping,Replacement charger
2024-11-06,-5.81,The Daily Grind Coffee,Restaurants,Espresso break
2024-11-08,-58.84,The Copper Kettle,Restaurants,Friday night out
2024-11-10,-9.91,Amazon,Shopping,Cable
2024-11-10,-9.99,Spotify,Subscriptions,Family plan upgrade
2024-11-11,-77.87,ATM Withdrawal,Other,Cash withdrawal
2024-11-11,-9.99,Spotify,Subscriptions,Family plan upgrade
2024-11-14,-13.63,Uber,Transport,Airport pickup
2024-11-16,-13.70,REWE,Groceries,Lunch supplies
2024-11-20,-14.32,Uber,Transport,Late-night ride home
2024-11-22,-11.62,Apotheke am Markt,Healthcare,Pharmacy
2024-11-23,-4.00,GitHub Pro,Subscriptions,Monthly subscription
2024-11-24,-9.99,Spotify,Subscriptions,Family plan upgrade
2024-11-25,-18.27,Cafe Verde,Restaurants,Friday night out
2024-11-25,6851.40,Northwind Traders Payroll,Salary,Monthly salary deposit
2024-11-25,-39.44,The Copper Kettle,Restaurants,Dinner with team
2024-11-30,-45.00,GoodReads Books,Shopping,Paperback haul
2024-12-01,-1741.83,Aurora Apartments,Rent,Rent for December 2024
2024-12-02,-70.56,Amazon,Shopping,Replacement charger
2024-12-02,-98.26,Berlin Philharmonic,Entertainment,Movie night
2024-12-07,-222.41,Ikea,Shopping,Random impulse buy
2024-12-13,-69.23,Zalando,Shopping,Winter coat
2024-12-15,37.71,Refund Returned Item,Refunds,Refund for returned order
2024-12-16,-115.89,REWE,Groceries,Weekly groceries
2024-12-18,-12.99,Netflix,Subscriptions,Auto-renewal
2024-12-19,-6.14,The Daily Grind Coffee,Restaurants,Espresso break
2024-12-19,-11.62,Uber,Transport,Airport pickup
2024-12-25,7686.42,Northwind Traders Payroll,Salary,Monthly salary deposit
2024-12-26,-8.05,Cafe Verde,Restaurants,Friday night out
2024-12-26,-27.90,Deutsche Bahn,Transport,ICE to Munich
2024-12-27,-67.69,Aldi Sud,Groceries,Weekly groceries
2025-01-01,-24.44,Apotheke am Markt,Healthcare,Cold medicine
2025-01-01,-1931.92,Aurora Apartments,Rent,Rent for January 2025
2025-01-02,-9.99,Spotify,Subscriptions,Family plan upgrade
2025-01-06,-7.04,The Daily Grind Coffee,Restaurants,Latte to go
2025-01-07,-31.20,Deutsche Bahn,Transport,Weekend trip
2025-01-08,-176.15,ATM Withdrawal,Other,Cash withdrawal
2025-01-08,-37.01,Amazon,Shopping,Replacement charger
2025-01-08,-6.14,Apotheke am Markt,Healthcare,Cold medicine
2025-01-09,-43.81,REWE,Groceries,Quick stop
2025-01-10,-10.50,DHL Postage,Other,Shipping label
2025-01-10,-6.03,DHL Postage,Other,Shipping label
2025-01-14,-138.48,Vattenfall Energy,Utilities,Quarterly bill
2025-01-16,-9.99,Spotify,Subscriptions,Family plan upgrade
2025-01-17,-58.18,Whole Foods,Groceries,Weekly groceries
2025-01-18,-133.35,ATM Withdrawal,Other,Cash withdrawal
2025-01-20,-11.02,Apotheke am Markt,Healthcare,Vitamins
2025-01-21,-10.50,DHL Postage,Other,Shipping label
2025-01-22,-150.14,ATM Withdrawal,Other,Cash withdrawal
2025-01-22,-109.30,Whole Foods,Groceries,Weekly groceries
2025-01-24,57.23,Refund Returned Item,Refunds,Refund for returned order
2025-01-25,6371.46,Northwind Traders Payroll,Salary,Monthly salary deposit
2025-01-25,13.50,Refund Returned Item,Refunds,Refund for returned order
2025-02-01,-1940.31,Aurora Apartments,Rent,Rent for February 2025
2025-02-02,-96.54,Vattenfall Energy,Utilities,Internet & TV
2025-02-04,48.85,Refund Returned Item,Refunds,Refund for returned order
2025-02-09,-4.00,GitHub Pro,Subscriptions,Auto-renewal
2025-02-10,-29.75,Apotheke am Markt,Healthcare,Pharmacy
2025-02-11,-16.83,Apotheke am Markt,Healthcare,Prescription
2025-02-13,-10.12,DHL Postage,Other,Shipping label
2025-02-13,-9.99,Spotify,Subscriptions,Monthly subscription
2025-02-14,-120.00,Florist Berlin,Other,Valentine's flowers
2025-02-19,-15.41,Berlin Cafe,Restaurants,Tea and pastry
2025-02-25,5409.37,Northwind Traders Payroll,Salary,Monthly salary deposit
2025-03-01,-2151.15,Aurora Apartments,Rent,Rent for March 2025
2025-03-06,-8.48,Apotheke am Markt,Healthcare,Vitamins
2025-03-12,-14.55,Cinemaxx,Entertainment,Movie night
2025-03-16,-33.83,Deutsche Bahn,Transport,Weekend trip
2025-03-19,-50.16,REWE,Groceries,Quick stop
2025-03-19,-179.39,Vattenfall Energy,Utilities,Quarterly bill
2025-03-22,-26.88,Amazon,Shopping,Books
2025-03-25,6050.30,Northwind Traders Payroll,Salary,Monthly salary deposit
2025-04-01,-2065.02,Aurora Apartments,Rent,Rent for April 2025
2025-04-05,-70.86,REWE,Groceries,Pantry restock
2025-04-05,25.39,Refund Returned Item,Refunds,Refund for returned order
2025-04-08,-19.32,Apotheke am Markt,Healthcare,Cold medicine
2025-04-09,-91.48,Whole Foods,Groceries,Weekly groceries
2025-04-22,-62.18,Vattenfall Energy,Utilities,Quarterly bill
2025-04-25,7527.55,Northwind Traders Payroll,Salary,Monthly salary deposit
2025-05-01,-2282.65,Aurora Apartments,Rent,Rent for May 2025
2025-05-01,-8.41,Berlin Cafe,Restaurants,Tea and pastry
2025-05-01,-66.28,Vattenfall Energy,Utilities,Quarterly bill
2025-05-03,-63.76,Sushi Hanako,Restaurants,Friday night out
2025-05-04,-250.00,Hotel Adlon,Travel,"One-night stay, work trip"
2025-05-04,-9.99,Spotify,Subscriptions,Family plan upgrade
2025-05-05,-88.08,Amazon,Shopping,Winter coat
2025-05-05,-18.30,Amazon,Shopping,Books
2025-05-05,-12.99,Netflix,Subscriptions,Auto-renewal
2025-05-05,-7.21,The Daily Grind Coffee,Restaurants,Espresso break
2025-05-05,-67.28,Vattenfall Energy,Utilities,Quarterly bill
2025-05-05,-114.91,Vattenfall Energy,Utilities,Quarterly bill
2025-05-13,-196.00,Dr. Becker Dental,Healthcare,Routine checkup
2025-05-13,-9.99,Spotify,Subscriptions,Family plan upgrade
2025-05-16,-154.12,Whole Foods,Groceries,Pantry restock
2025-05-21,-42.61,REWE,Groceries,Quick stop
2025-05-22,-15.24,Cinemaxx,Entertainment,Movie night
2025-05-23,-114.91,Whole Foods,Groceries,Weekly groceries
2025-05-24,-72.85,Whole Foods,Groceries,Weekly groceries
2025-05-25,7038.75,Northwind Traders Payroll,Salary,Monthly salary deposit
2025-05-26,20.17,Refund Returned Item,Refunds,Refund for returned order
2025-06-01,-2060.35,Aurora Apartments,Rent,Rent for June 2025
2025-06-04,-144.14,Zalando,Shopping,Winter coat
2025-06-06,-160.53,Whole Foods,Groceries,Weekly groceries
2025-06-08,-9.99,Spotify,Subscriptions,Family plan upgrade
2025-06-08,-139.63,Vattenfall Energy,Utilities,Quarterly bill
2025-06-11,-25.24,Apotheke am Markt,Healthcare,Prescription
2025-06-11,-4.11,DHL Postage,Other,Shipping label
2025-06-16,-93.30,Sushi Hanako,Restaurants,Birthday dinner
2025-06-18,-105.42,ATM Withdrawal,Other,Cash withdrawal
2025-06-18,-62.95,Deutsche Bahn,Transport,ICE ticket
2025-06-18,-18.99,Uber,Transport,Airport ride
2025-06-21,-55.00,REWE,Groceries,BBQ supplies
2025-06-23,-162.31,Ikea,Shopping,Random impulse buy
2025-06-25,5217.53,Northwind Traders Payroll,Salary,Monthly salary deposit
2025-07-01,-1894.46,Aurora Apartments,Rent,Rent for July 2025
2025-07-01,44.92,Refund Returned Item,Refunds,Refund for returned order
2025-07-09,-12.99,Netflix,Subscriptions,Auto-renewal
2025-07-09,50.89,Refund Returned Item,Refunds,Refund for returned order
2025-07-10,-51.35,REWE,Groceries,Lunch supplies
2025-07-12,-23.61,Uber,Transport,Airport pickup
2025-07-14,-171.04,Dr. Becker Dental,Healthcare,Routine checkup
2025-07-17,-48.91,Pasta & Co,Restaurants,Dinner with team
2025-07-22,-100.89,Vattenfall Energy,Utilities,Quarterly bill
2025-07-23,-54.83,REWE,Groceries,Quick stop
2025-07-24,33.31,Refund Returned Item,Refunds,Refund for returned order
2025-07-25,-69.52,Deutsche Bahn,Transport,Weekend trip
2025-07-25,5733.70,Northwind Traders Payroll,Salary,Monthly salary deposit
2025-07-26,-7.61,The Daily Grind Coffee,Restaurants,Espresso break
2025-08-01,-1917.99,Aurora Apartments,Rent,Rent for August 2025
2025-08-05,-20.53,Cinemaxx,Entertainment,Movie night
2025-08-05,-107.93,The Copper Kettle,Restaurants,Quick lunch
2025-08-09,-9.99,Spotify,Subscriptions,Family plan upgrade
2025-08-10,-49.63,Aldi Sud,Groceries,Weekly groceries
2025-08-11,-13.48,Berlin Cafe,Restaurants,Brunch
2025-08-11,-89.00,Lufthansa,Transport,"Berlin to Lisbon, baggage fee"
2025-08-15,-24.22,Uber,Transport,Late-night ride home
2025-08-17,-9.99,Spotify,Subscriptions,Family plan upgrade
2025-08-18,-135.43,Vattenfall Energy,Utilities,Quarterly bill
2025-08-22,-33.48,REWE,Groceries,Quick stop
2025-08-23,-14.92,Cinemaxx,Entertainment,Games on sale
2025-08-25,5399.22,Northwind Traders Payroll,Salary,Monthly salary deposit
2025-08-25,-37.53,Pasta & Co,Restaurants,Dinner with team
2025-09-01,-24.02,Apotheke am Markt,Healthcare,Prescription
2025-09-01,-2257.61,Aurora Apartments,Rent,Rent for September 2025
2025-09-03,-12.99,Netflix,Subscriptions,Auto-renewal
2025-09-14,-8.70,Berlin Cafe,Restaurants,Brunch
2025-09-21,-84.68,Zalando,Shopping,Random impulse buy
2025-09-25,5713.74,Northwind Traders Payroll,Salary,Monthly salary deposit
2025-10-01,-2214.84,Aurora Apartments,Rent,Rent for October 2025
2025-10-01,-38.26,Pasta & Co,Restaurants,Friday night out
2025-10-04,-12.99,Netflix,Subscriptions,Auto-renewal
2025-10-04,-7.82,The Daily Grind Coffee,Restaurants,Morning coffee
2025-10-05,-119.79,Vattenfall Energy,Utilities,Quarterly bill
2025-10-07,55.45,Refund Returned Item,Refunds,Refund for returned order
2025-10-10,-18.42,Cinemaxx,Entertainment,Games on sale
2025-10-14,-21.85,Uber,Transport,Airport pickup
2025-10-15,-139.89,Vattenfall Energy,Utilities,Quarterly bill
2025-10-15,-153.72,Zalando,Shopping,Winter coat
2025-10-16,-146.10,Vattenfall Energy,Utilities,Quarterly bill
2025-10-23,-130.80,Ikea,Shopping,Living room shelf
2025-10-25,6048.10,Northwind Traders Payroll,Salary,Monthly salary deposit
2025-10-25,-20.03,Uber,Transport,Late-night ride home
2025-10-26,-8.41,DHL Postage,Other,Shipping label
2025-10-27,-69.35,Amazon,Shopping,Cable
2025-11-01,-2203.53,Aurora Apartments,Rent,Rent for November 2025
2025-11-04,-12.99,Netflix,Subscriptions,Auto-renewal
2025-11-05,-83.43,Aldi Sud,Groceries,Weekly groceries
2025-11-05,-97.52,REWE,Groceries,Weekly groceries
2025-11-11,-188.22,Dr. Becker Dental,Healthcare,Routine checkup
2025-11-15,-35.56,REWE,Groceries,Lunch supplies
2025-11-20,-82.88,Whole Foods,Groceries,Pantry restock
2025-11-23,-10.85,Uber,Transport,Late-night ride home
2025-11-25,5216.52,Northwind Traders Payroll,Salary,Monthly salary deposit
2025-11-26,-131.98,ATM Withdrawal,Other,Cash withdrawal
2025-12-01,-1870.14,Aurora Apartments,Rent,Rent for December 2025
2025-12-01,-36.18,Mama Lucia Pizza,Restaurants,Birthday dinner
2025-12-04,-5.25,DHL Postage,Other,Shipping label
2025-12-05,-12.47,Apotheke am Markt,Healthcare,Prescription
2025-12-06,-105.04,Vattenfall Energy,Utilities,Quarterly bill
2025-12-15,-12.99,Netflix,Subscriptions,Auto-renewal
2025-12-16,-90.81,Berlin Philharmonic,Entertainment,Concert tickets
2025-12-16,-12.99,Netflix,Subscriptions,Auto-renewal
2025-12-16,-57.50,Whole Foods,Groceries,Weekly groceries
2025-12-19,-72.11,Amazon,Shopping,Cable
2025-12-22,-9.99,Spotify,Subscriptions,Family plan upgrade
2025-12-23,320.00,Tax Refund,Refunds,Annual tax refund
2025-12-24,-125.43,ATM Withdrawal,Other,Cash withdrawal
2025-12-24,-7.72,Apotheke am Markt,Healthcare,Prescription
2025-12-25,6265.37,Contoso Engineering Payroll,Salary,Monthly salary deposit
2025-12-27,48.24,Refund Returned Item,Refunds,Refund for returned order
2025-12-27,-178.65,Whole Foods,Groceries,Weekly groceries
2025-12-28,-12.02,Uber,Transport,Late-night ride home
2026-01-01,-1706.02,Aurora Apartments,Rent,Rent for January 2026
2026-01-02,-210.00,Apple Store,Shopping,USB-C dock
2026-01-02,-53.20,Berlin Philharmonic,Entertainment,Games on sale
2026-01-03,-78.32,Whole Foods,Groceries,Weekly groceries
2026-01-06,-53.43,Pasta & Co,Restaurants,Quick lunch
2026-01-07,-80.87,Deutsche Bahn,Transport,Weekend trip
2026-01-08,56.32,Refund Returned Item,Refunds,Refund for returned order
2026-01-09,-35.06,Amazon,Shopping,Replacement charger
2026-01-09,-14.58,Uber,Transport,Filled up tank
2026-01-10,-80.98,Deutsche Bahn,Transport,Weekend trip
2026-01-11,-9.91,DHL Postage,Other,Shipping label
2026-01-12,-19.23,Pasta & Co,Restaurants,Dinner with team
2026-01-12,-86.13,Zalando,Shopping,Summer wardrobe
2026-01-13,-168.05,Whole Foods,Groceries,Weekly groceries
2026-01-14,-11.36,Berlin Cafe,Restaurants,Tea and pastry
2026-01-14,21.76,Refund Returned Item,Refunds,Refund for returned order
2026-01-17,-13.15,Amazon,Shopping,Books
2026-01-17,-37.74,Amazon,Shopping,Cable
2026-01-18,-24.48,Pasta & Co,Restaurants,Quick lunch
2026-01-18,-9.99,Spotify,Subscriptions,Family plan upgrade
2026-01-19,-54.32,Amazon,Shopping,Replacement charger
2026-01-19,-25.22,Cinemaxx,Entertainment,Movie night
2026-01-19,-23.45,Cinemaxx,Entertainment,Movie night
2026-01-20,-16.71,Berlin Cafe,Restaurants,Brunch
2026-01-21,-6.56,DHL Postage,Other,Shipping label
2026-01-21,-92.23,Whole Foods,Groceries,Weekly groceries
2026-01-24,-12.00,Amazon,Shopping,Replacement charger
2026-01-24,-8.66,Apotheke am Markt,Healthcare,Cold medicine
2026-01-24,-4.05,The Daily Grind Coffee,Restaurants,Espresso break
2026-01-25,7465.38,Contoso Engineering Payroll,Salary,Monthly salary deposit
2026-01-27,-22.25,Uber,Transport,Airport pickup
2026-01-28,-55.84,Whole Foods,Groceries,Weekly groceries
2026-02-01,-194.69,ATM Withdrawal,Other,Cash withdrawal
2026-02-01,-2333.34,Aurora Apartments,Rent,Rent for February 2026
2026-02-02,-91.73,Vattenfall Energy,Utilities,Quarterly bill
2026-02-03,-19.42,REWE,Groceries,Quick stop
2026-02-04,36.18,Refund Returned Item,Refunds,Refund for returned order
2026-02-04,-49.55,Telekom Internet,Utilities,Quarterly bill
2026-02-07,-22.02,REWE,Groceries,Lunch supplies
